date,scheme,block,chainage_m,elevation_m,pipe_diameter_mm,pipe_material,pipe_length_m,flow_lps,expected_pressure_m,measured_pressure_m,number_of_offtakes,irrigation_duration_hr,pressure_difference_m,estimated_head_loss_m,hydraulic_status
2024-01-05,Mwea Smallholder,D,3391.4,1153.3,75,PVC,639.3,3.47,38.15,30.0,1,1.63,-8.15,8.15,Normal
2024-01-05,Mwea Smallholder,B,295.2,971.8,50,PVC,731.0,5.97,42.29,47.04,3,6.78,4.75,0.0,Normal
2024-01-05,Runyenjes East,C,4946.3,1128.1,25,PVC,792.1,4.92,34.91,25.62,11,5.37,-9.29,9.29,Normal
2024-01-05,Runyenjes East,E,4752.0,969.6,63,HDPE,50.9,8.43,60.0,64.92,8,4.62,4.92,0.0,High Pressure
2024-01-05,Mwea Smallholder,E,4994.4,1097.5,63,PVC,264.0,9.46,38.55,34.2,2,0.79,-4.35,4.35,Normal
2024-01-05,Runyenjes East,E,4757.1,1202.7,63,HDPE,523.6,5.98,35.8,30.22,2,7.89,-5.58,5.58,Normal
2024-01-06,Mwea Smallholder,D,2226.8,1339.1,63,PVC,496.2,4.19,28.72,27.99,2,5.48,-0.73,0.73,Normal
2024-01-06,Embu Green,F,3106.1,1174.3,40,PVC,798.8,3.47,34.23,24.79,1,4.08,-9.44,9.44,Normal
2024-01-06,Mwea Smallholder,F,2967.5,1170.0,25,GI,797.6,2.61,38.75,44.85,1,1.49,6.1,0.0,Normal
2024-01-06,Mwea Smallholder,A,135.6,997.5,75,HDPE,212.6,1.7,55.38,54.88,9,7.8,-0.5,0.5,High Pressure
2024-01-06,Embu Green,A,2164.0,1256.0,40,PVC,41.1,7.19,34.89,36.36,8,2.79,1.47,0.0,Normal
2024-01-06,Mwea Smallholder,A,4230.4,957.6,32,PVC,776.8,4.7,41.87,31.0,1,3.61,-10.87,10.87,Normal
2024-01-07,Runyenjes East,D,3860.8,1143.6,50,HDPE,98.9,6.47,49.56,39.89,5,3.01,-9.67,9.67,Normal
2024-01-07,Kibugu-Nguviu,A,3176.8,1141.7,25,GI,179.4,7.97,50.09,51.29,6,3.85,1.2,0.0,High Pressure
2024-01-07,Kibugu-Nguviu,E,523.4,1222.3,90,PVC,180.2,6.61,39.19,39.04,10,4.46,-0.15,0.15,Normal
2024-01-07,Kibugu-Nguviu,E,1452.2,958.0,32,PVC,560.1,6.46,46.89,47.9,4,6.1,1.01,0.0,Normal
2024-01-07,Kibugu-Nguviu,C,2899.5,1021.1,90,PVC,463.5,5.41,51.64,48.23,11,4.13,-3.41,3.41,Normal
2024-01-07,Kibugu-Nguviu,B,3944.8,1068.5,25,PVC,150.5,1.23,52.41,52.64,11,7.28,0.23,0.0,High Pressure
2024-01-07,Embu Green,H,3333.4,1009.1,50,PVC,771.5,5.2,43.31,37.9,10,5.23,-5.41,5.41,Normal
2024-01-08,Embu Green,F,4477.7,1215.9,90,PVC,105.4,6.58,35.16,33.34,4,5.8,-1.82,1.82,Normal
2024-01-08,Mwea Smallholder,G,907.1,1067.9,90,PVC,34.8,1.22,53.03,52.94,10,7.76,-0.09,0.09,High Pressure
2024-01-08,Embu Green,G,3164.0,1285.9,50,HDPE,80.3,4.21,37.15,39.92,4,2.0,2.77,0.0,Normal
2024-01-08,Kibugu-Nguviu,E,682.1,1295.4,75,PVC,51.5,1.81,40.59,44.36,11,2.31,3.77,0.0,Normal
2024-01-08,Embu Green,F,3693.8,995.9,63,HDPE,506.5,5.53,50.95,47.64,2,4.65,-3.31,3.31,Normal
2024-01-08,Embu Green,G,336.0,1237.7,63,PVC,471.9,5.22,38.71,35.57,10,1.94,-3.14,3.14,Normal
2024-01-08,Runyenjes East,F,253.2,1149.9,25,HDPE,433.4,6.99,42.84,36.37,6,1.02,-6.47,6.47,Normal
2024-01-08,Embu Green,B,1704.3,1167.1,50,HDPE,517.5,3.6,37.48,27.84,7,2.43,-9.64,9.64,Normal
2024-01-08,Embu Green,F,561.3,1218.5,75,PVC,115.9,2.82,40.4,43.65,3,0.8,3.25,0.0,Normal
2024-01-08,Embu Green,F,4595.6,1343.7,40,GI,423.2,10.55,31.92,31.64,8,0.82,-0.28,0.28,Normal
2024-01-08,Embu Green,B,2561.6,1039.4,25,PVC,478.2,6.26,46.44,51.34,6,7.05,4.9,0.0,High Pressure
2024-01-08,Runyenjes East,F,3709.7,962.4,25,HDPE,30.1,6.14,59.87,56.11,11,2.76,-3.76,3.76,High Pressure
2024-01-09,Kibugu-Nguviu,H,3619.4,1128.1,25,PVC,249.3,6.09,43.87,46.88,4,3.95,3.01,0.0,Normal
2024-01-09,Kibugu-Nguviu,G,1273.4,1031.6,63,PVC,168.9,7.39,48.32,49.51,11,6.71,1.19,0.0,Normal
2024-01-09,Mwea Smallholder,A,4122.4,972.3,40,PVC,453.8,2.98,52.39,45.3,8,5.56,-7.09,7.09,Normal
2024-01-09,Runyenjes East,G,4406.3,1297.3,90,PVC,154.2,5.32,35.59,33.24,4,4.09,-2.35,2.35,Normal
2024-01-09,Embu Green,B,773.3,985.9,25,GI,364.7,3.78,49.29,46.77,4,6.54,-2.52,2.52,Normal
2024-01-09,Mwea Smallholder,B,248.4,1237.0,90,PVC,387.8,4.99,41.12,43.32,6,1.15,2.2,0.0,Normal
2024-01-09,Runyenjes East,H,220.4,950.7,40,PVC,429.8,4.74,47.69,47.98,8,3.96,0.29,0.0,Normal
2024-01-09,Mwea Smallholder,H,826.0,1289.4,90,GI,222.2,1.56,39.7,35.46,4,1.23,-4.24,4.24,Normal
2024-01-09,Embu Green,H,3328.4,1149.9,25,PVC,146.7,3.42,43.55,46.11,8,1.38,2.56,0.0,Normal
2024-01-10,Embu Green,E,873.6,1279.6,63,PVC,159.3,2.48,36.32,39.91,11,2.71,3.59,0.0,Normal
2024-01-10,Kibugu-Nguviu,C,4743.6,976.2,25,GI,687.7,4.98,47.0,45.76,6,1.65,-1.24,1.24,Normal
2024-01-10,Runyenjes East,C,3665.8,1333.1,40,PVC,288.4,9.56,35.04,36.26,6,3.44,1.22,0.0,Normal
2024-01-10,Embu Green,F,296.3,950.9,75,PVC,522.3,2.88,60.0,55.47,9,2.01,-4.53,4.53,High Pressure
2024-01-10,Embu Green,G,529.5,972.7,25,PVC,311.6,3.78,49.69,48.51,7,3.03,-1.18,1.18,Normal
2024-01-10,Mwea Smallholder,E,444.4,1077.2,90,PVC,738.3,5.41,41.49,42.11,1,6.07,0.62,0.0,Normal
2024-01-10,Runyenjes East,B,305.8,1012.9,90,PVC,388.4,8.35,51.13,48.96,7,0.86,-2.17,2.17,Normal
2024-01-10,Embu Green,B,4516.9,1076.2,90,PVC,271.2,6.06,43.6,46.67,6,2.72,3.07,0.0,Normal
2024-01-10,Mwea Smallholder,G,364.7,1237.8,40,HDPE,127.9,1.9,44.88,42.01,4,7.23,-2.87,2.87,Normal
2024-01-10,Kibugu-Nguviu,A,2253.4,1184.9,32,PVC,402.6,4.81,40.78,37.84,5,2.19,-2.94,2.94,Normal
2024-01-10,Embu Green,E,2563.1,985.5,63,PVC,304.1,5.66,48.11,42.56,5,7.25,-5.55,5.55,Normal
2024-01-11,Mwea Smallholder,G,3762.1,1016.3,90,PVC,214.9,7.92,47.56,55.64,3,7.63,8.08,0.0,High Pressure
2024-01-11,Embu Green,H,2849.8,952.0,90,HDPE,545.3,2.59,44.37,41.39,3,0.72,-2.98,2.98,Normal
2024-01-11,Kibugu-Nguviu,F,3205.8,1241.6,50,HDPE,381.5,8.09,41.16,40.92,10,6.85,-0.24,0.24,Normal
2024-01-11,Kibugu-Nguviu,G,3188.3,1273.3,40,PVC,347.6,5.77,35.59,36.59,6,1.53,1.0,0.0,Normal
2024-01-11,Kibugu-Nguviu,D,4528.6,1095.1,32,PVC,704.7,4.68,35.38,41.09,4,3.48,5.71,0.0,Normal
2024-01-11,Kibugu-Nguviu,C,4509.8,1185.4,40,PVC,588.7,3.12,40.08,37.98,9,6.23,-2.1,2.1,Normal
2024-01-12,Kibugu-Nguviu,D,3319.2,1264.7,40,PVC,295.9,5.98,34.66,26.15,4,3.19,-8.51,8.51,Normal
2024-01-12,Mwea Smallholder,D,4080.3,1080.6,32,PVC,337.8,4.36,41.08,35.5,4,0.54,-5.58,5.58,Normal
2024-01-12,Runyenjes East,E,2786.2,1087.0,63,PVC,522.9,4.23,47.52,54.87,4,1.26,7.35,0.0,High Pressure
2024-01-12,Runyenjes East,B,528.1,1225.0,40,PVC,347.3,4.64,38.53,41.33,3,6.05,2.8,0.0,Normal
2024-01-12,Embu Green,A,3073.2,1092.2,63,PVC,71.0,7.14,50.55,47.58,8,4.93,-2.97,2.97,Normal
2024-01-12,Runyenjes East,A,1814.3,1189.7,63,HDPE,324.9,3.99,43.14,39.27,9,7.96,-3.87,3.87,Normal
2024-01-12,Runyenjes East,E,2651.3,1085.5,40,PVC,567.1,1.67,41.4,34.15,7,7.38,-7.25,7.25,Normal
2024-01-12,Embu Green,A,4061.2,1337.2,63,PVC,787.3,3.11,32.88,29.29,10,3.71,-3.59,3.59,Normal
2024-01-12,Kibugu-Nguviu,D,3990.3,1263.4,90,HDPE,128.0,7.76,39.37,37.37,1,5.28,-2.0,2.0,Normal
2024-01-12,Embu Green,G,1568.1,1090.7,25,HDPE,552.8,3.76,43.95,37.52,10,5.26,-6.43,6.43,Normal
2024-01-12,Kibugu-Nguviu,G,2412.6,965.0,40,HDPE,725.9,2.4,44.31,36.46,10,5.53,-7.85,7.85,Normal
2024-01-13,Runyenjes East,A,3539.0,1226.7,50,PVC,285.1,2.95,37.92,35.71,3,0.89,-2.21,2.21,Normal
2024-01-13,Mwea Smallholder,C,4899.7,1041.5,32,PVC,272.0,4.48,46.23,36.73,2,1.37,-9.5,9.5,Normal
2024-01-13,Mwea Smallholder,E,4323.4,1184.1,50,PVC,573.6,2.44,33.73,33.19,1,5.95,-0.54,0.54,Normal
2024-01-13,Mwea Smallholder,H,1223.7,1166.2,75,PVC,375.0,5.44,36.0,35.96,10,7.97,-0.04,0.04,Normal
2024-01-13,Mwea Smallholder,A,2522.7,1144.9,63,PVC,532.7,3.45,45.41,45.9,9,5.04,0.49,0.0,Normal
2024-01-13,Mwea Smallholder,C,4477.6,1090.2,40,HDPE,40.4,5.37,50.27,54.57,8,3.99,4.3,0.0,High Pressure
2024-01-14,Runyenjes East,A,96.8,1302.6,25,GI,134.5,5.28,29.47,18.39,6,4.61,-11.08,11.08,Normal
2024-01-14,Mwea Smallholder,H,423.6,1325.2,50,HDPE,549.7,2.3,27.53,27.85,1,6.92,0.32,0.0,Normal
2024-01-14,Kibugu-Nguviu,A,208.6,1290.0,40,PVC,744.6,7.84,29.63,24.79,6,0.61,-4.84,4.84,Normal
2024-01-14,Runyenjes East,G,2827.5,1349.0,50,GI,400.7,5.09,30.81,35.58,2,4.8,4.77,0.0,Normal
2024-01-14,Kibugu-Nguviu,E,2040.2,1308.2,90,PVC,670.4,5.77,31.29,30.39,11,1.43,-0.9,0.9,Normal
2024-01-14,Embu Green,H,4581.8,985.8,63,PVC,512.7,4.07,47.32,50.71,11,4.8,3.39,0.0,High Pressure
2024-01-14,Embu Green,C,3326.6,1107.9,50,PVC,343.0,5.11,41.52,35.39,9,6.95,-6.13,6.13,Normal
2024-01-14,Mwea Smallholder,G,2957.0,1218.0,40,PVC,621.2,3.06,36.15,34.99,2,2.73,-1.16,1.16,Normal
2024-01-14,Kibugu-Nguviu,C,412.4,1095.6,40,PVC,493.8,6.9,41.58,46.17,11,4.87,4.59,0.0,Normal
2024-01-14,Embu Green,H,668.4,1065.0,75,PVC,413.5,2.43,43.03,35.07,6,7.45,-7.96,7.96,Normal
2024-01-15,Kibugu-Nguviu,A,1619.7,995.1,63,PVC,420.4,3.33,50.53,50.68,10,2.71,0.15,0.0,High Pressure
2024-01-15,Kibugu-Nguviu,E,3821.4,1304.6,32,PVC,561.2,4.39,27.79,25.88,4,3.52,-1.91,1.91,Normal
2024-01-15,Embu Green,E,3499.1,1194.7,75,PVC,450.6,5.74,36.92,35.49,5,6.59,-1.43,1.43,Normal
2024-01-15,Mwea Smallholder,E,1373.5,1120.8,40,GI,405.0,6.62,43.39,39.68,4,6.88,-3.71,3.71,Normal
2024-01-15,Runyenjes East,G,3750.9,1219.7,32,PVC,601.4,6.22,31.81,34.31,6,4.61,2.5,0.0,Normal
2024-01-16,Embu Green,B,3199.3,965.3,40,PVC,434.8,4.77,48.23,51.45,3,3.67,3.22,0.0,High Pressure
2024-01-16,Mwea Smallholder,G,4399.8,1098.5,40,PVC,314.7,6.47,42.76,50.28,9,1.79,7.52,0.0,High Pressure
2024-01-16,Embu Green,C,819.5,1104.0,40,HDPE,240.0,4.36,44.89,48.24,5,5.6,3.35,0.0,Normal
2024-01-16,Embu Green,D,4916.8,1104.5,75,PVC,358.2,6.14,46.8,35.02,5,6.16,-11.78,11.78,Normal
2024-01-17,Mwea Smallholder,D,3512.3,1234.8,50,HDPE,36.5,6.82,42.99,42.24,4,4.76,-0.75,0.75,Normal
2024-01-17,Embu Green,G,3749.3,988.4,40,PVC,368.7,4.1,45.59,47.74,11,0.64,2.15,0.0,Normal
2024-01-17,Kibugu-Nguviu,H,2895.4,991.4,63,GI,298.3,2.99,55.34,42.11,3,3.5,-13.23,13.23,Normal
2024-01-17,Embu Green,F,1768.5,1334.2,75,PVC,523.4,4.86,24.65,20.28,7,6.11,-4.37,4.37,Normal
2024-01-17,Mwea Smallholder,F,4145.8,1250.7,63,HDPE,357.1,5.96,34.36,27.21,7,1.37,-7.15,7.15,Normal
2024-01-17,Runyenjes East,D,4985.6,1001.9,32,PVC,783.0,9.45,40.47,34.94,1,7.28,-5.53,5.53,Normal
2024-01-17,Embu Green,B,1640.5,1183.8,40,PVC,149.7,4.76,48.01,47.25,5,2.95,-0.76,0.76,Normal
2024-01-18,Runyenjes East,G,1534.5,1075.8,40,PVC,147.7,5.44,46.85,43.39,10,1.52,-3.46,3.46,Normal
2024-01-18,Mwea Smallholder,F,2615.3,1107.9,63,PVC,257.5,1.02,53.43,53.41,11,4.63,-0.02,0.02,High Pressure
2024-01-18,Runyenjes East,D,4888.2,1184.8,75,PVC,300.0,5.49,42.91,38.58,2,0.97,-4.33,4.33,Normal
2024-01-18,Kibugu-Nguviu,G,2657.8,1178.2,90,HDPE,604.4,4.28,34.81,33.27,11,5.23,-1.54,1.54,Normal
2024-01-18,Runyenjes East,D,4614.5,1261.5,25,PVC,203.7,6.31,41.83,32.39,6,6.25,-9.44,9.44,Normal
2024-01-18,Kibugu-Nguviu,H,3910.3,1222.0,63,PVC,376.4,7.18,37.28,41.86,5,3.86,4.58,0.0,Normal
2024-01-18,Embu Green,A,3175.3,995.9,40,GI,333.5,9.65,49.96,54.5,8,3.55,4.54,0.0,High Pressure
2024-01-18,Embu Green,H,4178.1,1084.4,50,PVC,318.5,5.81,44.15,47.0,9,7.62,2.85,0.0,Normal
2024-01-19,Runyenjes East,A,2485.5,1271.6,75,HDPE,575.1,2.85,26.66,25.7,9,7.45,-0.96,0.96,Normal
2024-01-19,Mwea Smallholder,A,1409.0,966.7,75,HDPE,399.6,4.29,50.44,60.55,9,4.82,10.11,0.0,High Pressure
2024-01-19,Kibugu-Nguviu,G,703.0,1161.1,75,HDPE,301.6,6.17,40.47,38.69,9,3.69,-1.78,1.78,Normal
2024-01-19,Kibugu-Nguviu,C,2804.6,1002.6,40,HDPE,411.9,3.44,46.8,44.45,3,6.64,-2.35,2.35,Normal
2024-01-19,Runyenjes East,D,2023.1,1164.7,40,HDPE,672.8,4.13,34.24,34.72,11,3.05,0.48,0.0,Normal
2024-01-19,Mwea Smallholder,H,1950.2,1059.6,40,PVC,604.0,5.76,46.28,40.5,9,3.87,-5.78,5.78,Normal
2024-01-19,Kibugu-Nguviu,B,324.4,1181.8,40,HDPE,357.1,3.66,39.42,50.16,10,4.93,10.74,0.0,High Pressure
2024-01-19,Mwea Smallholder,E,4734.7,1342.6,32,HDPE,338.3,4.68,33.64,34.67,11,1.7,1.03,0.0,Normal
2024-01-19,Mwea Smallholder,B,4061.0,1312.3,32,PVC,180.2,5.35,35.04,37.0,8,3.17,1.96,0.0,Normal
2024-01-20,Runyenjes East,B,1894.0,1136.3,32,PVC,452.6,4.1,42.04,35.17,7,2.63,-6.87,6.87,Normal
2024-01-20,Mwea Smallholder,C,654.6,1211.6,75,PVC,415.9,6.19,38.15,42.94,1,1.29,4.79,0.0,Normal
2024-01-20,Kibugu-Nguviu,E,2684.3,1118.6,40,PVC,771.7,7.66,36.37,23.5,2,4.65,-12.87,12.87,Normal
2024-01-20,Mwea Smallholder,A,458.4,1013.3,32,HDPE,411.2,8.86,42.3,45.53,4,5.36,3.23,0.0,Normal
2024-01-20,Mwea Smallholder,E,1858.4,1079.3,50,PVC,320.2,6.8,45.68,47.26,4,3.75,1.58,0.0,Normal
2024-01-20,Runyenjes East,C,788.3,1302.2,40,PVC,693.2,3.09,28.58,21.51,4,3.77,-7.07,7.07,Normal
2024-01-20,Runyenjes East,H,3689.2,999.0,40,HDPE,755.7,2.83,40.92,35.04,3,2.31,-5.88,5.88,Normal
2024-01-21,Runyenjes East,A,4204.6,1132.2,90,HDPE,407.1,5.49,41.62,44.81,1,2.84,3.19,0.0,Normal
2024-01-21,Runyenjes East,E,1472.6,1154.8,90,PVC,46.5,5.47,42.13,39.1,6,0.89,-3.03,3.03,Normal
2024-01-21,Runyenjes East,C,3149.0,1287.8,32,PVC,790.2,2.69,33.86,34.6,2,7.21,0.74,0.0,Normal
2024-01-21,Mwea Smallholder,B,2092.7,975.3,32,PVC,235.5,6.3,53.62,54.77,4,4.24,1.15,0.0,High Pressure
2024-01-21,Embu Green,H,2559.4,1002.2,75,GI,136.2,6.83,52.72,53.39,4,2.56,0.67,0.0,High Pressure
2024-01-21,Embu Green,A,4112.4,1136.3,40,PVC,386.3,6.07,46.22,39.32,2,4.36,-6.9,6.9,Normal
2024-01-21,Embu Green,E,2743.3,952.2,63,HDPE,534.9,4.76,55.2,65.0,4,3.67,9.8,0.0,High Pressure
2024-01-21,Mwea Smallholder,G,3429.4,957.5,32,HDPE,506.9,3.71,50.02,54.17,3,7.72,4.15,0.0,High Pressure
2024-01-21,Mwea Smallholder,A,652.2,1295.9,32,HDPE,43.0,7.34,39.41,36.98,5,1.76,-2.43,2.43,Normal
2024-01-21,Embu Green,C,1504.7,1022.0,32,PVC,430.2,0.59,51.63,47.19,9,6.27,-4.44,4.44,Normal
2024-01-21,Mwea Smallholder,C,4520.9,975.6,50,HDPE,84.7,7.95,48.0,53.2,1,4.4,5.2,0.0,High Pressure
2024-01-21,Runyenjes East,A,2932.3,1056.6,75,GI,343.3,4.65,47.5,42.75,7,0.96,-4.75,4.75,Normal
2024-01-22,Kibugu-Nguviu,B,3270.3,1333.0,63,PVC,212.0,5.79,35.96,26.92,8,7.38,-9.04,9.04,Normal
2024-01-22,Kibugu-Nguviu,E,2288.7,1302.5,75,GI,300.2,6.79,35.0,43.8,4,6.43,8.8,0.0,Normal
2024-01-22,Kibugu-Nguviu,C,4555.9,1295.5,50,HDPE,483.6,3.85,31.58,26.64,6,1.22,-4.94,4.94,Normal
2024-01-22,Embu Green,C,1306.0,958.5,90,PVC,317.4,7.21,52.22,56.21,1,0.51,3.99,0.0,High Pressure
2024-01-22,Mwea Smallholder,H,814.2,1176.5,63,PVC,578.8,7.16,37.25,41.03,9,3.01,3.78,0.0,Normal
2024-01-22,Embu Green,G,1687.6,989.9,50,PVC,90.3,8.58,56.84,56.73,11,7.39,-0.11,0.11,High Pressure
2024-01-23,Mwea Smallholder,B,497.6,1211.2,90,HDPE,469.7,5.39,36.92,31.04,5,5.02,-5.88,5.88,Normal
2024-01-23,Mwea Smallholder,H,4679.6,1071.8,50,PVC,316.2,5.11,44.09,35.57,6,6.77,-8.52,8.52,Normal
2024-01-23,Kibugu-Nguviu,F,3680.2,1228.0,40,PVC,178.5,2.88,42.61,42.02,5,3.51,-0.59,0.59,Normal
2024-01-23,Runyenjes East,C,2936.8,1341.9,75,PVC,64.4,2.61,35.32,29.39,3,6.5,-5.93,5.93,Normal
2024-01-23,Mwea Smallholder,B,925.0,1195.8,32,PVC,799.2,7.6,34.56,35.28,9,4.42,0.72,0.0,Normal
2024-01-23,Runyenjes East,E,3928.2,1260.8,50,HDPE,302.1,2.98,35.63,36.48,11,6.3,0.85,0.0,Normal
2024-01-23,Mwea Smallholder,A,4422.5,951.0,40,PVC,787.4,1.6,46.16,48.66,3,4.99,2.5,0.0,Normal
2024-01-23,Mwea Smallholder,H,3773.2,1319.0,90,HDPE,91.2,3.9,37.75,32.78,7,0.88,-4.97,4.97,Normal
2024-01-24,Runyenjes East,B,237.5,1231.6,63,PVC,74.0,6.62,42.31,41.29,2,2.83,-1.02,1.02,Normal
2024-01-24,Kibugu-Nguviu,A,2798.2,1066.5,40,HDPE,699.1,5.84,46.19,41.67,3,7.76,-4.52,4.52,Normal
2024-01-24,Mwea Smallholder,C,771.6,1035.4,40,PVC,88.6,7.68,48.32,48.82,4,2.79,0.5,0.0,Normal
2024-01-24,Kibugu-Nguviu,E,2058.6,1001.3,50,PVC,156.2,5.74,47.64,49.67,1,6.03,2.03,0.0,Normal
2024-01-24,Runyenjes East,G,4348.7,1031.5,50,GI,301.8,6.06,45.96,45.45,7,1.65,-0.51,0.51,Normal
2024-01-24,Runyenjes East,E,3717.6,1207.7,32,HDPE,754.0,2.68,35.19,28.77,2,2.03,-6.42,6.42,Normal
2024-01-24,Embu Green,D,4001.3,1101.9,40,PVC,553.4,6.08,39.9,37.13,5,7.19,-2.77,2.77,Normal
2024-01-24,Embu Green,A,4213.6,1285.5,50,PVC,717.6,6.17,41.91,31.69,6,4.04,-10.22,10.22,Normal
2024-01-24,Kibugu-Nguviu,B,4356.4,1332.2,75,PVC,651.4,11.54,31.68,33.79,2,2.37,2.11,0.0,Normal
2024-01-24,Kibugu-Nguviu,C,526.3,1175.2,25,HDPE,162.1,4.1,43.74,44.86,2,4.24,1.12,0.0,Normal
2024-01-24,Kibugu-Nguviu,D,3868.2,1109.2,25,GI,89.5,2.0,44.65,35.47,11,4.04,-9.18,9.18,Normal
2024-01-24,Runyenjes East,G,2454.8,1106.6,40,PVC,578.4,8.05,40.73,32.78,3,4.38,-7.95,7.95,Normal
2024-01-24,Kibugu-Nguviu,D,4912.0,995.5,32,PVC,86.1,2.96,51.33,39.62,9,6.76,-11.71,11.71,Normal
2024-01-24,Runyenjes East,G,791.5,1043.7,50,PVC,58.5,3.76,48.65,38.2,11,2.74,-10.45,10.45,Normal
2024-01-24,Runyenjes East,B,3068.3,1294.7,63,HDPE,656.2,2.08,28.34,31.03,11,2.88,2.69,0.0,Normal
2024-01-25,Mwea Smallholder,D,4579.9,994.1,90,HDPE,731.8,3.71,45.5,43.2,11,2.94,-2.3,2.3,Normal
